
Predictions were generated on 06-Sep-2024 at 17:54:47 using FAST (v8.16.00a-bjj, 27-Jul-2016), compiled as a 32-bit application using single precision
 linked with  NWTC Subroutine Library (v2.09.00, 23-Jul-2016); ElastoDyn (v1.04.00a-bjj, 26-Jul-2016); InflowWind (v3.03.00, 26-Jul-2016); AeroDyn14 (v14.05.01a-bjj, 25-Jul-2016); ServoDyn (v1.06.00a-bjj, 26-Jul-2016)

Description from the FAST input file: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time      	Wind1VelX 	BldPitch1 	RotSpeed  	TTDspFA   	TwrBsMyt  	LSShftTq  	RootMyc1  	GenPwr    	GenTq     
(s)       	(m/s)     	(deg)     	(rpm)     	(m)       	(kN·m)    	(kN·m)    	(kN·m)    	(kW)      	(kN·m)    
    1.7625	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.372E+04	 4.178E+03	 5.689E+03	 5.000E+03	 4.308E+01
    1.7750	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.372E+04	 4.178E+03	 5.692E+03	 5.000E+03	 4.308E+01
    1.7875	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.371E+04	 4.178E+03	 5.696E+03	 5.000E+03	 4.308E+01
    1.8000	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.371E+04	 4.178E+03	 5.699E+03	 5.000E+03	 4.308E+01
    1.8125	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.371E+04	 4.178E+03	 5.703E+03	 5.000E+03	 4.308E+01
    1.8250	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.371E+04	 4.178E+03	 5.706E+03	 5.000E+03	 4.308E+01
    1.8375	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.371E+04	 4.178E+03	 5.710E+03	 5.000E+03	 4.308E+01
    1.8500	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.371E+04	 4.178E+03	 5.713E+03	 5.000E+03	 4.308E+01
    1.8625	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.371E+04	 4.178E+03	 5.717E+03	 5.000E+03	 4.308E+01
    1.8750	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.371E+04	 4.178E+03	 5.720E+03	 5.000E+03	 4.308E+01
    1.8875	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.371E+04	 4.178E+03	 5.724E+03	 5.000E+03	 4.308E+01
    1.9000	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.371E+04	 4.178E+03	 5.727E+03	 5.000E+03	 4.308E+01
